1.10 (from 1.10-pre2)

Total: 2899 (+18, -24)

Additions:
	Added "entity.Donkey.name": "Donkey"
	Added "entity.Mule.name": "Mule"
	Added "entity.SkeletonHorse.name": "Skeleton Horse"
	Added "entity.ZombieHorse.name": "Zombie Horse"
	Added "subtitles.entity.husk.ambient": "Husk groans"
	Added "subtitles.entity.husk.death": "Husk dies"
	Added "subtitles.entity.husk.hurt": "Husk hurts"
	Added "subtitles.entity.polar_bear.ambient": "Polar Bear groans"
	Added "subtitles.entity.polar_bear.baby_ambient": "Polar Bear hums"
	Added "subtitles.entity.polar_bear.death": "Polar Bear dies"
	Added "subtitles.entity.polar_bear.hurt": "Polar Bear hurts"
	Added "subtitles.entity.polar_bear.warning": "Polar Bear roars"
	Added "subtitles.entity.stray.ambient": "Stray rattles"
	Added "subtitles.entity.stray.death": "Stray dies"
	Added "subtitles.entity.stray.hurt": "Stray hurts"
	Added "subtitles.entity.wither_skeleton.ambient": "Wither Skeleton rattles"
	Added "subtitles.entity.wither_skeleton.death": "Wither Skeleton dies"
	Added "subtitles.entity.wither_skeleton.hurt": "Wither Skeleton hurts"

Removals:
	Removed "commands.achievement.statTooLow": "Player %s does not have the stat %s"
	Removed "entity.donkey.name": "Donkey"
	Removed "entity.horse.name": "Horse"
	Removed "entity.mule.name": "Mule"
	Removed "entity.skeletonhorse.name": "Skeleton Horse"
	Removed "entity.zombiehorse.name": "Zombie Horse"
	Removed "item.ruby.name": "Ruby"
	Removed "menu.simulating": "Simulating the world for a bit"
	Removed "menu.switchingLevel": "Switching worlds"
	Removed "multiplayer.info1": "Minecraft Multiplayer is currently not finished, but there"
	Removed "multiplayer.info2": "is some buggy early testing going on."
	Removed "options.advancedButton": "Advanced Video Settings..."
	Removed "options.advancedOpengl": "Advanced OpenGL"
	Removed "options.advancedVideoTitle": "Advanced Video Settings"
	Removed "options.fboEnable": "Enable FBOs"
	Removed "options.performanceButton": "Video Performance Settings..."
	Removed "options.performanceVideoTitle": "Video Performance Settings"
	Removed "options.qualityButton": "Video Quality Settings..."
	Removed "options.qualityVideoTitle": "Video Quality Settings"
	Removed "options.renderDistance.far": "Far"
	Removed "options.renderDistance.normal": "Normal"
	Removed "options.renderDistance.short": "Short"
	Removed "options.renderDistance.tiny": "Tiny"
	Removed "tile.oreRuby.name": "Ruby Ore"

Changes:
	Changed "achievement.buildFurnace.desc" from "Construct a furnace out of eight stone blocks" to "Construct a furnace out of eight cobblestone blocks"
	Changed "achievement.diamondsToYou.desc" from "Throw diamonds at another player." to "Throw diamonds at another player"
	Changed "achievement.openInventory.desc" from "Press '%1$s' to open your inventory." to "Press '%1$s' to open your inventory"
	Changed "commands.achievement.give.success.one" from "Successfully given %s the stat %s" to "Successfully given %s the achievement %s"
	Changed "commands.achievement.take.success.one" from "Successfully taken the stat %s from %s" to "Successfully taken the achievement %s from %s"
	Changed "commands.achievement.unknownAchievement" from "Unknown achievement or statistic '%s'" to "Unknown achievement '%s'"
	Changed "commands.achievement.usage" from "/achievement <give|take> <stat_name|*> [player]" to "/achievement <give|take> <name|*> [player]"
	Changed "commands.save-off.alreadyOff" from "Saving is already turned off." to "Saving is already turned off"
	Changed "commands.save-on.alreadyOn" from "Saving is already turned on." to "Saving is already turned on"
	Changed "commands.scoreboard.players.test.usage" from "/scoreboard players test <player> <objective> <min> <max>" to "/scoreboard players test <player> <objective> <min> [max]"
